Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
A Ashish Reddy,24-02-91,Right_Hand,Right-arm medium,India
A Chandila,05-12-83,Right_Hand,Right-arm offbreak,India
A Chopra,19-09-77,Right_Hand,Right-arm offbreak,India
A Choudhary,,Right_Hand,Left-arm fast-medium,
A Dananjaya,,Right_Hand,Right-arm offbreak,
A Flintoff,06-12-77,Right_Hand,Right-arm fast-medium,England
A Hales,,Right_Hand,,
A Joseph,,Right_Hand,Right-arm fast,
A Kumble,17-10-70,Right_Hand,Legbreak googly,India
A Mishra,24-11-82,Right_Hand,Legbreak,India
A Mithun,25-10-89,Right_Hand,Right-arm medium,India
A Mukund,06-01-90,Right_Hand,Legbreak googly,India
A Nehra,29-04-79,Right_Hand,Left-arm medium-fast,India
A Nel,15-07-77,Right_Hand,Right-arm fast-medium,South Africa
A Roy,,Left_Hand,Slow left-arm orthodox,
A Singh,21-06-81,Right_Hand,Right-arm medium-fast,India
A Symonds,09-06-75,Right_Hand,Right-arm offbreak,Australia
A Turner,,Right_Hand,,
A Uniyal,21-11-81,Right_Hand,Left-arm medium,India
A Zampa,31-03-92,Right_Hand,Legbreak googly,Australia
AA Bilakhia,31-05-86,Right_Hand,Right-arm medium,India
AA Chavan,28-10-85,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,01-12-82,Right_Hand,Right-arm offbreak,India
AA Kazi,29-09-89,Right_Hand,Slow left-arm orthodox,India
AA Noffke,30-04-77,Right_Hand,Right-arm fast-medium,Australia
AB Agarkar,04-12-77,Right_Hand,Right-arm fast,India
AB Barath,14-04-90,Left_Hand,Right-arm offbreak,India
AB de Villiers,17-02-84,Right_Hand,Right-arm medium,South Africa
AB Dinda,25-03-84,Right_Hand,Right-arm medium-fast,India
AB McDonald,05-06-81,Right_Hand,Right-arm fast-medium,Australia
Abdur Razzak,15-06-82,Left_Hand,Slow left-arm orthodox,Bangladesh
AC Blizzard,27-06-84,Left_Hand,Left-arm medium,Australia
AC Gilchrist,14-11-71,Left_Hand,Right-arm offbreak,Australia
AC Thomas,09-02-77,Right_Hand,Right-arm fast-medium,England
AC Voges,04-10-79,Right_Hand,Slow left-arm orthodox,Australia
AD Mascarenhas,30-10-77,Right_Hand,Right-arm fast-medium,England
AD Mathews,02-06-87,Right_Hand,Right-arm fast-medium,Sri Lanka
AD Nath,10-05-93,Right_Hand,Right-arm medium-fast,India
AD Russell,29-04-88,Right_Hand,Right-arm fast,West Indies
AF Milne,13-04-92,Right_Hand,Right-arm fast,New Zealand
AG Murtaza,01-01-90,Left_Hand,Slow left-arm orthodox,India
AG Paunikar,18-04-88,Right_Hand,NULL,India
AJ Finch,17-11-86,Right_Hand,Slow left-arm orthodox,Australia
AJ Tye,,Right_Hand,Right-arm fast-medium,
AL Menaria,29-10-90,Left_Hand,Slow left-arm orthodox,India
AM Nayar,08-10-83,Left_Hand,Right-arm medium,India
AM Rahane,06-06-88,Right_Hand,Right-arm medium,India
AM Salvi,20-10-81,Right_Hand,Right-arm medium,India
AN Ahmed,05-11-88,Right_Hand,Right-arm medium-fast,India
AN Ghosh,19-10-86,Right_Hand,Right-arm medium,India
Anand Rajan,17-04-87,Right_Hand,Right-arm medium,India
Anirudh Singh,02-08-80,Left_Hand,Right-arm medium,India
Ankit Sharma,20-04-91,Left_Hand,Slow left-arm orthodox,India
Ankit Soni,,Right_Hand,Legbreak,
Anureet Singh,02-03-88,Right_Hand,Right-arm medium,India
AP Dole,09-10-87,Right_Hand,Right-arm medium-fast,India
AP Majumdar,30-04-84,Right_Hand,Legbreak googly,India
AP Tare,07-11-87,Right_Hand,NULL,India
AR Bawne,,Right_Hand,,
AR Patel,20-01-94,Left_Hand,Slow left-arm orthodox,India
AS Rajpoot,04-12-93,Right_Hand,Right-arm medium,India
AS Raut,03-03-87,Right_Hand,Legbreak googly,India
AS Yadav,,Right_Hand,,
AT Rayudu,23-09-85,Right_Hand,Right-arm offbreak,India
AUK Pathan,17-06-84,Right_Hand,Right-arm medium,India
AV Wankhade,14-03-92,Right_Hand,NULL,India
Avesh Khan,,Right_Hand,Right-arm fast-medium,
Azhar Mahmood,28-02-75,Right_Hand,Right-arm fast-medium,Pakistan
B Akhil,07-10-77,Right_Hand,Right-arm medium-fast,India
B Aparajith,08-07-94,Right_Hand,Right-arm offbreak,India
B Chipli,27-01-83,Right_Hand,Right-arm medium,India
B Geeves,13-06-82,Right_Hand,Right-arm fast-medium,Australia
B Kumar,05-02-90,Right_Hand,Right-arm medium,India
B Laughlin,03-10-82,Right_Hand,Right-arm fast-medium,Australia
B Lee,08-11-76,Right_Hand,Right-arm fast,Australia
B Stanlake,,Right_Hand,Right-arm fast,
B Sumanth,10-05-88,Right_Hand,Right-arm medium-fast,India
BA Bhatt,13-05-90,Left_Hand,Slow left-arm orthodox,India
BA Stokes,,Left_Hand,Right-arm fast-medium,
Basil Thampi,,Right_Hand,Right-arm fast,
BAW Mendis,11-03-85,Right_Hand,Right-arm offbreak,Sri Lanka
BB McCullum,27-09-81,Right_Hand,Right-arm medium,New Zealand
BB Samantray,14-12-88,Right_Hand,NULL,India
BB Sran,10-12-92,Left_Hand,Left-arm medium,India
BCJ Cutting,30-01-87,Right_Hand,Right-arm fast-medium,Australia
BE Hendricks,08-06-90,Left_Hand,Left-arm fast-medium,South Africa
Bipul Sharma,28-09-83,Left_Hand,Slow left-arm orthodox,India
BJ Haddin,23-10-77,Right_Hand,NULL,Australia
BJ Hodge,29-12-74,Right_Hand,Right-arm offbreak,Australia
BJ Rohrer,26-03-81,Left_Hand,Right-arm offbreak,Australia
BMAJ Mendis,15-01-83,Left_Hand,Right-arm offbreak,Sri Lanka
BR Dunk,11-03-87,Left_Hand,Right-arm fast,Australia
BW Hilfenhaus,15-03-83,Right_Hand,Right-arm fast,Australia
C de Grandhomme,,Right_Hand,Legbreak,
C Ganapathy,10-06-81,Right_Hand,Right-arm medium,India
C Ingram,,Left_Hand,Right-arm fast-medium,
C Madan,15-10-82,Right_Hand,NULL,India
C Munro,11-03-87,Left_Hand,Right-arm medium-fast,New Zealand
C Nanda,29-03-79,Right_Hand,Legbreak,India
CA Ingram,03-07-85,Left_Hand,Legbreak,South Africa
CA Lynn,10-04-90,Right_Hand,Slow left-arm orthodox,Australia
CA Pujara,25-01-88,Right_Hand,Legbreak,India
CH Gayle,21-09-79,Left_Hand,Right-arm offbreak,West Indies
CH Morris,30-04-87,Right_Hand,Right-arm fast-medium,South Africa
CJ Anderson,13-12-90,Left_Hand,Left-arm medium-fast,New Zealand
CJ Ferguson,21-11-84,Right_Hand,Right-arm medium,Australia
CJ Jordan,04-10-88,Right_Hand,Right-arm fast-medium,England
CJ McKay,20-02-83,Right_Hand,Right-arm fast-medium,Australia
CK Kapugedera,24-02-87,Right_Hand,Right-arm medium,Sri Lanka
CK Langeveldt,17-12-74,Right_Hand,Right-arm fast-medium,England
CL White,18-08-83,Right_Hand,Legbreak googly,Australia
CM Gautam,08-03-86,Right_Hand,NULL,India
CR Brathwaite,18-07-88,Right_Hand,Right-arm fast-medium,West Indies
CR Woakes,,Right_Hand,Right-arm fast-medium,
CRD Fernando,19-07-79,Right_Hand,Right-arm fast-medium,Sri Lanka
D du Preez,08-11-81,Right_Hand,Right-arm fast-medium,South Africa
D Kalyankrishna,16-12-83,Right_Hand,Right-arm medium-fast,India
D Salunkhe,12-11-82,Right_Hand,Legbreak,India
D Shorey,,Right_Hand,,
D Short,,Left_Hand,Slow left-arm orthodox,
D Wiese,18-05-85,Right_Hand,Right-arm medium-fast,South Africa
D Willey,,Right_Hand,Left-arm fast-medium,
DA Miller,10-06-89,Left_Hand,Right-arm offbreak,South Africa
